"key","en","nl"
"hello_world","hello world","Hello world in dutch"
"working_question","Is it working","Is it working in dutch"
"translate_me","Translate me","Translate me in dutch"
"play_button","Play","Spelen"
"Ranking_button","Ranking","Scorebord"
"Settings_button","Settings","Instellingen"
"Credits_button","Credits","Aftiteling"
"Rank_Ranking","Rank","Rang"
"Name_Ranking","Name","Naam"
"Music_Settings","Music","Muziek"
"Sound_Settings","Sound","Geluid"
"Language_Settings","Language","Taal"
"ProduceTeam_Credits","Produce Team","Productie team"
"Artists_Credits","Artists","Kunstenaars"
"Designers_Credits","Designers","Ontwerpers"
"Engineer_Credits","Engineer","Programmeur"
"ProduceTeam_Credits","Produce Team","Productie team"
